"Año";"Periodo";"Parámetro";"Denuncias, datos acumulados"
"2018";"Trimestre 4";"Agresión sexual con penetración";"1.700"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"289"
"2018";"Trimestre 4";"Hurtos";"706.072"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"150.872"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"60.295"
"2018";"Trimestre 4";"Secuestro";"81"
"2018";"Trimestre 4";"Sustracciones de vehículos";"35.897"
"2018";"Trimestre 4";"Total";"2.131.118"
"2018";"Trimestre 4";"Tráfico de drogas";"14.133"
"2019";"Trimestre 4";"Agresión sexual con penetración";"1.873"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"331"
"2019";"Trimestre 4";"Hurtos";"700.453"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"142.528"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"65.874"
"2019";"Trimestre 4";"Secuestro";"89"
"2019";"Trimestre 4";"Sustracciones de vehículos";"35.105"
"2019";"Trimestre 4";"Total";"2.199.475"
"2019";"Trimestre 4";"Tráfico de drogas";"16.624"
"2020";"Trimestre 4";"Agresión sexual con penetración";"1.596"
"2020";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"298"
"2020";"Trimestre 4";"Hurtos";"420.950"
"2020";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"106.106"
"2020";"Trimestre 4";"Robos con violencia e intimidación";"45.263"
"2020";"Trimestre 4";"Secuestro";"76"
"2020";"Trimestre 4";"Sustracciones de vehículos";"25.387"
"2020";"Trimestre 4";"Total";"1.766.779"
"2020";"Trimestre 4";"Tráfico de drogas";"17.112"
"2021";"Trimestre 4";"Agresión sexual con penetración";"2.143"
"2021";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"293"
"2021";"Trimestre 4";"Hurtos";"493.479"
"2021";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"105.274"
"2021";"Trimestre 4";"Robos con violencia e intimidación";"53.073"
"2021";"Trimestre 4";"Secuestro";"97"
"2021";"Trimestre 4";"Sustracciones de vehículos";"26.417"
"2021";"Trimestre 4";"Total";"1.957.719"
"2021";"Trimestre 4";"Tráfico de drogas";"18.313"
"2022";"Trimestre 4";"Agresión sexual con penetración";"2.870"
"2022";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"325"
"2022";"Trimestre 4";"Hurtos";"642.579"
"2022";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"120.676"
"2022";"Trimestre 4";"Robos con violencia e intimidación";"63.711"
"2022";"Trimestre 4";"Secuestro";"85"
"2022";"Trimestre 4";"Sustracciones de vehículos";"30.982"
"2022";"Trimestre 4";"Tráfico de drogas";"19.014"
;;
;;
"Métrica":"Denuncias, datos acumulados"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cifras-crimen-espana/d46b83fd-58df-4c71-bdeb-d40691a66838"
"Titulo":"Las cifras del crimen en España"
"Subtitulo":""
